
ádfasdf	ádfasdfasdf
tuesday	Tue., Tues.) /´tju:zdi/ thứ 3
tune	/tun , tyun/ điệu, giai điệu; lên dây, so dây (đàn)
tunnel	đường hầm, hang
turn	/tə:n/ quay, xoay, vặn; sự quay, vòng quay
tv	tuyến truyền hình
twice	hai lần
twin	/twɪn/ sinh đôi, tạo thành cặp; cặp song sinh
twist	/twist/ xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twisted	được xoắn, được cuộn
type	/taip/ loại, kiểu, mẫu; phân loại, xếp loại
typical	tiêu biểu, điển hình, đặc trưng
typically	điển hình, tiêu biểu
tyre	(NAmE tire) /'taiз/ lốp, vỏ xe
ugly	xấu xí, xấu xa
ultimate	cuối cùng, sau cùng
ultimately	cuối cùng, sau cùng
umbrella	ô, dù
unable	không có năng lực, không có tài
unable	không thể, không có khẳ năng (# có thể)
unacceptable	/'ʌnək'septəbl/ không thể chấp nhận
unacceptable	không thể chấp nhận
uncertain	thiếu chính xác, không chắc chắn
uncertain	 không chắc chắn, khôn biết rõ ràng
uncle	chú, bác
uncomfortable	bất tiện, khó chịu, không thoải mái
uncomfortable	bất tiện, không tiện lợi
unconscious	 bất tỉnh, không có ý thức, không biết rõ
unconscious	bất tỉnh, ngất đi
uncontrolled	không bị điều khiển, không bị kiểm tra, không bị hạn chế
uncontrolled	không bị kiềm chế, không bị kiểm tra
under	sự điều khiển của
under	/'ʌndə/ dưới, ở dưới; ở phía dưới, về phía dưới
underground	/'ʌndəgraund/ dưới mặt đất, ngầm dưới đất; ngầm
underneath	/¸ʌndə´ni:θ/ dưới, bên dưới
understand	hiểu, nhận thức
understanding	trí tuệ, sự hiểu biết
underwater	/´ʌndə¸wɔtə/ ở dưới mặt nước, dưới mặt nước
underwear	quần lót
undo	tháo, gỡ; xóa bỏ, hủy bỏ
undo	tháo, gỡ, xóa, hủy bỏ
unemployed	thất nghiệp; không dùng, không sử dụng được
unemployed	không dùng, thất nghiệp
unemployment	sự thất nghiệp, nạn thất nghiệp
unemployment	sự thất nghiệp, tình trạng thất nghiệp
unexpected	bất ngờ, gây ngạc nhiên
unexpected,	/¸ʌniks´pektid/ bất ngờ, đột ngột, gây ngạc nhiên
unexpectedly	bất ngờ, gây ngạc nhiên
unfair	gian lận, không công bằng; bất lợi
unfair,	/ʌn´fɛə/ không đúng, không công bằng, gian lận
unfairly	gian lận, không công bằng; bất lợi
unfortunate	không may, rủi ro, bất hạnh
unfortunately	một cách đáng tiếc, một cách không may
unfriendly	không thân thiện, không có thiện cảm
unfriendly	đối địch, không thân thiện
unhappiness	nỗi buồn, sự bất hạnh
unhappiness	sự buồn, nỗi buồn
unhappy	buồn rầu, khốn khổ
unhappy	buồn rầu, khổ sở
uniform	/ˈjunəˌfɔrm/ đồng phục; đều, giống nhau, đồng dạng
unimportant	khônh quan trọng, không trọng đại
unimportant	không quan trọng
union	liên hiệp, sự đoàn kết, sự hiệp nhất
unique	độc nhất vô nhị
unit	đơn vị
unite	liên kết, hợp nhất, hợp lại, kết thân
united	 liên minh, đoàn kết, chung, thống nhất
universe	vũ trụ
university	trường đại học
unkind	độc ác, tàn nhẫn
unkind	không tử tế, không tốt
unknown	 không biết
unknown	không biết, không được nhận ra
unless	trừ phi, trừ khi, nếu không
unlike	/ʌn´laik/ khác, không giống
unlike	không giống, khác
unlikely	không thể xảy ra, không chắc xảy ra
unlikely	không có thể xảy ra, không chắc chắn; không có thực
unload	cất gánh nặng, dỡ hàng
unload	tháo, dỡ
unlucky	không gặp may, bất hạnh
unlucky	không gặp may, không may mắn
unnecessary	 không cần thiết, không mong muốn
unnecessary	không cần thiết, không mong muốn
unpleasant	không dễ chịu, khó chịu, khó ưa
unpleasant	không dễ chịu, khó chịu
unreasonable	vô lý
unreasonable	vô lý, vượt quá giới hạn của cái hợp lý
unsteady	không chắc, không ổn định
unsteady	không đúng mực, không vững, không chắc
unsuccessful	không thành công, thất bại
unsuccessful	không thành công, không thành đạt
untidy	không gọn gàng, không ngăn nắp, lộn xộn
untidy	không gọn gàng, không ngăn nắp, lộn xộn
until	conj., prep. /ʌn´til/ trước khi, cho đến khi
unusual	hiếm, khác thường, đáng chú ý
unusual,	/ʌn´ju:ʒuəl/ hiếm, khác thường
unusually	cực kỳ, khác thường
unwilling	không sẵn lòng, miễn cưỡng
unwilling,	/ʌn´wiliη/ không muốn, không có ý định
unwillingly	không sẵn lòng, miễn cưỡng
up	/Λp/ ở trên, lên trên, lên
upon	trên, ở trên
upper	cao hơn
upset	/ʌpˈsɛt/ làm đổ, đánh đổ
upsetting	tính đánh đổ, làm đổ
upside	/´ʌp¸said/ lộn ngược
upstairs	n. /´ʌp´stɛəz/  ở tên gác, cư ngụ ở tầng gác; tầng trên, gác
upward	lên, hướng lên, đi lên
upwards	especially in NAmE) adv.
urban	(thuộc) thành phố, khu vực
urge	/ə:dʒ/ thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgent	gấp, khẩn cấp
us	chúng tôi, chúng ta; tôi và anh
use	/ju:s/ sử dụng, dùng; sự dùng, sự sử dụng
used	đã dùng, đã sử dụng
used	doing sth sử dụng cái gì, sử dụng để làm cái gì
used	v. đã quen dùng
useful	hữu ích, giúp ích
useless	vô ích, vô dụng
user	người dùng, người sử dụng
usual	thông thường, thường dùng
usually	thường thường
vacation	kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid	chắc chắn, hiệu quả, hợp lý
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	/'vælju:/ giá trị, ước tính, định giá
van	tiền đội, quân tiên phong; xe tải
variation	sự biến đổi, sự thay đổi mức độ, sự khác nhau
varied	thuộc nhiều loại khác nhau, những vẻ đa dạng
variety	sự đa dạng, trạng thái khác nhau
various	khác nhau, thuộc về nhiều loại
vary	thay đổi, làm cho khác nhau, biến đổi
vast	rộng lớn, mênh mông
vegetable	, ˈvɛdʒɪtəbəl/ rau, thực vật
vehicle	xe cộ
venture	/'ventʃə/ sự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
version	bản dịch sang một ngôn ngữ khác
vertical	thẳng đứng, đứng
very	rất, lắm
via	qua, theo đường
victim	nạn nhân
victory	chiến thắng
video	video
view	/vju:/ sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát
village	làng, xã
violence	sự ác liệt, sự dữ dội; bạo lực
violent	mãnh liệt, mạnh mẽ, hung dữ
violently	mãnh liệt, dữ dội
virtually	thực sự, hầu như, gần như
virus	vi rút
visible	hữu hình, thấy được
vision	sự nhìn, thị lực
visit	/vizun/ đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng
visitor	khách, du khách
vital	(thuộc) sự sống, cần cho sự sống
vocabulary	từ vựng
voice	tiếng, giọng nói
volume	thế tích, quyển, tập
vote	/voʊt/ sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
wage	tiền lương, tiền công
waist	eo, chỗ thắt lưng
wait	chờ đợi
waiter,	/'weitə/ người hầu bàn, người đợi, người trông chờ
wake	/weik/ thức dậy, tỉnh thức
walk	/wɔ:k/ đi, đi bộ; sự đi bộ, sự đi dạo
walking	sự đi, sự đi bộ
wall	tường, vách
wallet	cái ví
wander	/'wɔndə/ đi lang thang; sự đi lang thang
want	muốn
war	chiến tranh
warm	/wɔ:m/ ấm, ấm áp; làm cho nóng, hâm nóng
warmth	trạng thái ấm, sự ấm áp; hơi ấm
warn	báo cho biết, cảnh báo
warning	sự báo trước, lời cảnh báo
wash	, wɔʃ/ rửa, giặt
washing	sự tắm rửa, sự giặt
waste	adj. /weɪst/ lãng phí, uổng phí; vùng hoang vu, sa mạc; bỏ hoang
watch	/wɔtʃ/ nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
water	nước
wave	/weɪv/ sóng, gợn nước; gợn sóng, uốn thành sóng
way	đường, đường đi
we	chúng tôi, chúng ta
weak	yếu, yếu ớt
weakness	tình trạng yếu đuối, yếu ớt
wealth	sự giàu có, sự giàu sang
weapon	vũ khí
wear	mặc, mang, đeo
weather	 thời tiết
web	mạng, lưới
website	gian liên tới với Internet
wedding	lễ cưới, hôn lễ
wednesday	Wed., Weds.) /´wensdei/ thứ 4
week	tuần, tuần lễ
weekend	cuối tuần
weekly	mỗi tuần một lần, hàng tuần
weigh	cân, cân nặng
weight	trọng lượng
welcome	n., exclamation /'welkʌm/ chào mừng, hoan nghênh
well	/´wel´noun/ nổi tiếng, được nhiều người biết đến
well	exclamation /wel/ tốt, giỏi; ôi, may quá!
well	know
west	adv. /west/ phía Tây, theo phía tây, về hướng tây
western	về phía tây, của phía tây
wet	ướt, ẩm ướt
what	/wʌt/ gì, thế nào
whatever	/wɔt´evə/ bất cứ thứ gì, bất kể thứ gì
wheel	bánh xe
when	conj. /wen/ khi, lúc, vào lúc nào
whenever	bất cứ lúc nào, lúc nào
where	/weər/ đâu, ở đâu; nơi mà
whereas	nhưng ngược lại, trong khi
wherever	weər'evə(r)/ ở bất cứ nơi nào, ở bất cứ nơi đâu
whether	có..không; có... chăng; không biết có.. không
which	/witʃ/ nào, bất cứ.. nào; ấy, đó
while	/wail/ trong lúc, trong khi; lúc, chốc, lát
whilst	BrE) /wailst/ trong lúc, trong khi
whisper	/´wispə/ nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào
whistle	/wisl/ sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
white	/wai:t/ trắng; màu trắng
who	ai, người nào, kẻ nào, người như thế nào
whoever	/ ai, người nào, bất cứ ai, bất cứ người nào, dù ai
whole	/həʊl/ bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
whom	ai, người nào; người mà
whose	/hu:z/ của ai
why	tại sao, vì sao
wide	rộng, rộng lớn
widely	nhiều, xa; rộng rãi
width	wɪtθ/ tính chất rộng, bề rộng
wife	vợ
wild	dại, hoang
wildly	dại, hoang
will	n. /wil/ sẽ; ý chí, ý định
willing	bằng lòng, vui lòng, muốn
willingly	sẵn lòng, tự nguyện
willingness	sự bằng lòng, sự vui lòng
win	chiếm, đọat, thu được
wind	quấn lại, cuộn lại
wind	lên dây, quấn, giải quyết
wind	gió
window	cửa sổ
wine	rượu, đồ uống
wing	cánh, sự bay, sự cất cánh
winner	người thắng cuộc
winning	đang dành thắng lợi, thắng cuộc
winter	 mùa đông
wire	dây (kim loại)
wise	khôn ngoan, sáng suốt, thông thái
wish	/wi∫/  ước, mong muốn; sự mong ước, lòng mong muốn
with	với, cùng
withdraw	, wɪθˈdrɔ/ rút,  rút khỏi, rút lui
within	trong vong thời gian, trong khoảng thời gian
without	, wɪθaʊt/ không, không có
witness	/'witnis/ sự làm chứng, bằng chứng; chứng kiến, làm chứng
woman	đàn bà, phụ nữ
wonder	ngạc nhiên, lấy làm lạ, kinh ngạc
wonderful	phi thường, khác thường, kỳ diệu, tuyệt vời
wood	gỗ
wooden	làm bằng gỗ
wool	len
word	từ
work	/wɜ:k/ làm việc, sự làm việc
worker	người lao động
working	sự làm, sự làm việc
world	thế giới
worried	bồn chồn, lo nghĩ, tỏ ra lo lắng
worry	/'wʌri/ lo lắng, suy nghĩ; sự lo lắng, suy nghĩ
worrying	gấy lo lắng, gây lo nghĩ
worse,	 xấu
worship	/ˈwɜrʃɪp/ sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ
worth	đáng giá, có giá trị
wound	/waund/ vết thương, thương tích; làm bị thường, gây thương tích
wounded	bị thương
wrap	gói, bọc, quấn
wrapping	vật bao bọc, vật quấn quanh
wrist	cổ tay
write	viết
writer	người viết
writing	sự viết
written	viết ra, được thảo ra
wrong	/rɔɳ/  sai
wrongly	một cách bất công, không đúng
yard	lat, thước Anh (bằng 0, 914 mét)
yawn	/jɔ:n/ há miệng; cử chỉ ngáp
yeah	vâng, ừ
year	 năm
yellow	/'jelou/ vàng; màu vàng
yes	/jes/ vâng, phải, có chứ
yesterday	/'jestədei/ hôm qua
yet	/yet/ còn, hãy cỏn, còn nữa; như mà, xong, tuy thế, tuy nhiên
you	anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày
young	trẻ, trẻ tuổi, thanh niên
your	của anh, của chị, của ngài, của mày; của các anh, của các chị, của các ngài, của chúng mày
yours	cái của anh, cái của chị, cái của ngài, cái của mày; cái của các anh, cái của các chị, cái của các ngài, cái của chúng mày
yours-Truly-(NAmE)	thúc thư (bạn chân thành của...)
yours-faithfully	chân thành
yours-sincerely	chân thành của anh, chị.. (viết ở cuối thư)
yourself	tự anh, tự chị, chính anh, chính mày, tự mày, tự mình
youth	tuổi trẻ, tuổi xuân, tuổi thanh niên, tuổi niên thiếu
zero-number	không
zone	khu vực, miền, vùng
